ObjectID,GlobalID,Species name,Specify other.,% cover of,Presence negligible (less than 1%),repeat_text,ParentGlobalID,CreationDate,Creator,EditDate,Editor
11,0e11fdec-5b7f-4ec9-b713-adadd61b6286,Lysimachia_arvensis,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
12,36e1ec00-658f-49ab-aa9f-deb05391aa94,other,Erigeron foliosus var. foliosus (Leafy fleabane),,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
13,922b4edc-3e41-46f5-aa3f-84db3a85e04f,Sonchus_oleraceus,,,yes,NaN,02405507-e98b-413f-b872-5f6dd4adaa4a,8/17/2020 5:02:08 PM,CIR_FieldTech1,12/19/2022 10:00:38 PM,ken_cir
14,cb8f4f87-808b-4aad-8e29-dca215da5b4d,Deinandra_fasciculata,,10,no,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
15,15ac6c10-49a0-4e64-9f06-60b0233dd9a9,Isocoma_menziesii,,,yes,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
16,b676de8e-b3b8-4051-b888-987039a733e8,Erigeron_canadensis,,,yes,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
17,b08b8ddc-9772-4901-abb5-2cee113b52a5,Stipa_pulchra,,8,no,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
18,bfd79684-9657-44b7-871b-788414e65ba6,Plantago_erecta,,,yes,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
19,9abce85f-d3a2-4cc2-9f0a-93636b83433b,other,Lactuca serriola (Prickly lettuce),,,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
20,1c83f68b-3b9a-4adf-9728-944d161500a5,Polygonum_aviculare,,,yes,NaN,3754f979-8d2e-4e68-bf9d-fc5c71bdb45a,8/17/2020 8:17:25 PM,CIR_FieldTech1,12/19/2022 9:57:43 PM,ken_cir
21,d82c0521-6fdb-4fe2-849e-ccefe7301be2,Deinandra_fasciculata,,15,no,NaN,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir
22,adbddb40-c384-46ef-945a-69135eda158c,Stipa_pulchra,,25,no,NaN,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir
23,03601e77-0ab6-4b61-82f0-bdb5a147a79d,Erigeron_canadensis,,,yes,NaN,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir
24,7bd0459b-f348-4e21-bc10-850f506113f6,other,Erigeron foliosus var. foliosus (Leafy fleabane),,yes,NaN,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir
25,ee5ab880-d216-4216-ac4c-05038c9f875f,other,Lactuca serriola (Prickly lettuce),,yes,NaN,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir
26,f4d6aa75-3b40-4743-94d4-da2c5e300e77,Isocoma_menziesii,,,yes,NaN,67ced1a0-c6f0-4c00-a0b4-21e961f13fdb,8/17/2020 8:18:18 PM,CIR_FieldTech1,12/19/2022 9:55:43 PM,ken_cir
27,03452c58-1ff9-40e9-bea6-668b785da790,Deinandra_fasciculata,,2,no,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
28,e3d3530e-48bb-4346-8e72-fd564a65cd37,other,Lactuca serriola (Prickly lettuce),1,no,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
29,697c81a2-466c-4cf8-b198-8a0c004f1a67,Croton_setigerus,,1,no,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
30,91f88518-8431-460f-80be-46c04f3877b5,Convolvulus_arvensis,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
31,27196f4b-b9d2-45e9-99b0-e8334a83e575,Pseudognaphalium_californicum,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
32,be67479e-da33-43d0-a4ba-e79fa3e9e9da,Lysimachia_arvensis,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
33,5489a070-d51d-4761-9136-9a91735ab294,other,Helminthotheca echiodes (Bristly ox-tongue),,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
34,ec30ebb0-a831-4fb2-9a40-708f00a0e5d5,Erigeron_canadensis,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
35,c9252140-e7d2-4cfd-9a65-ed5def165763,Ambrosia_psilostachya,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
36,596b72fe-2ece-4b48-b83d-5f972cb3042a,Stipa_pulchra,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
37,80abe622-c2ca-4ed2-94c5-d21b36c27dc0,Pseudognaphalium_luteoalbum,,,yes,NaN,7de09f52-d741-4528-89e8-71c75ed467e2,8/17/2020 8:19:19 PM,CIR_FieldTech1,12/19/2022 9:53:41 PM,ken_cir
38,b0a34e35-04b2-4e07-9cd9-6ae1ddba3131,Croton_setigerus,,3,no,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
39,63a1fe91-98c5-4a72-ad81-7dd1d698b66a,other,Lactuca serriola (Prickly lettuce),4,no,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
40,5f382253-0dca-4c93-9594-f8a718d02109,Deinandra_fasciculata,,2,no,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
41,8a6f8e8a-967e-4c2f-b474-d658845bcb60,Stipa_pulchra,,5,no,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
42,6528966a-2991-40a2-9a18-ea10f783e671,Lysimachia_arvensis,,,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
43,b6413a32-34f6-4b23-87c7-348521448c1f,Erigeron_canadensis,,,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
44,3a0e502f-e023-4c57-8f09-96e74d46ccc4,Baccharis_pilularis,,,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
45,6eece847-3c74-44cb-9116-d3bc4a7db3f4,Hirschfeldia_incana,,,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
46,8b0fd91e-5f55-4635-af6b-295dcb9e955f,Pseudognaphalium_luteoalbum,,,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
47,1f42a4fc-dcbc-4a41-9631-325e06dfd1e4,other,Helminthotheca echiodes (Bristly ox-tongue),,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
48,cca74422-9aa6-4c15-ac02-d37f031c05d6,Convolvulus_arvensis,,,yes,NaN,7266fc53-23b5-4df3-915a-420af4d0ee00,8/19/2020 9:34:40 PM,CIR_FieldTech1,12/19/2022 9:47:11 PM,ken_cir
49,0a36c072-6fee-4a61-aae2-7504ee933615,Deinandra_fasciculata,,10,no,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
50,39c0bfa3-371e-4752-be99-a34ee9ccb124,other,Lactuca serriola (Prickly lettuce),1,no,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
51,63d35e33-ba45-4be7-abbf-b2ce427e42b0,Stipa_pulchra,,7,no,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
52,55051350-f9d0-41b3-bc20-42a7542e8e95,Erigeron_canadensis,,,yes,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
53,4d9e6e56-13fe-4cb6-866c-f8f45122760d,Isocoma_menziesii,,,yes,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
54,8230b357-b418-4506-9db0-ad6274ab76f1,Hirschfeldia_incana,,,yes,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
55,746630f1-820c-4e7f-9bb5-9ff530ed9817,Croton_setigerus,,,yes,NaN,ab28f32c-f877-405f-8035-39eeb6065c55,8/19/2020 9:41:34 PM,CIR_FieldTech1,12/19/2022 9:45:36 PM,ken_cir
56,cf5383f9-a1b5-4eaa-90ba-6bce47c3336a,Deinandra_fasciculata,,3,no,NaN,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir
57,77b8668b-bfcb-4578-af3a-81d1d5e6ac90,other,Helminthotheca echiodes (Bristly ox-tongue),,yes,NaN,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir
58,1e06667a-7d6c-41c7-9939-ec8ee6e1d504,Stipa_pulchra,,20,no,NaN,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir
59,1bb0e008-6438-4395-8f3c-89742fa4fa83,Hirschfeldia_incana,,,yes,NaN,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir
60,54ad2da3-d3d7-4a36-b1b9-5cc6440f446f,Erigeron_canadensis,,,yes,NaN,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir
61,e9dac6a6-0c07-4476-a699-9ac1f7362491,other,Lactuca serriola (Prickly lettuce),,yes,NaN,4630f5d2-ffa7-4a89-8bc0-f0199fda4bd0,8/19/2020 9:49:06 PM,CIR_FieldTech1,12/19/2022 9:43:04 PM,ken_cir
62,476fe31f-ffae-4352-b2d7-87ab64268399,Croton_setigerus,,35,no,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
63,1e9e6610-2589-46bd-a318-e674470bd06a,other,Datura wrightii (Jimson weed),2,no,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
64,9c025d14-4813-45f0-8fa4-f6f8614623a3,Solanum_xanti,,,yes,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
65,45a332d7-9637-4412-8a75-2a6d7f51f2a7,Sonchus_asper,,,yes,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
66,de5916ad-402c-4549-9356-6586d9ba6258,Hirschfeldia_incana,,7,no,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
67,cf588d8d-2b70-4b73-b281-750a10eda94e,Lysimachia_arvensis,,,yes,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
68,28d41fb4-2354-45b7-a313-6f11ce507d0f,Sonchus_oleraceus,,,yes,NaN,f64f6233-4a17-4b90-b044-ac98be73a818,8/19/2020 10:12:36 PM,CIR_FieldTech1,12/19/2022 9:41:46 PM,ken_cir
69,cfd78cd2-238f-46d7-9354-f95679e656f0,Stipa_pulchra,,40,no,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
70,dc6de939-8113-49bd-8833-32ec3037f130,Deinandra_fasciculata,,3,no,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
71,966b05d4-712d-495f-a95e-482a792ba390,Hirschfeldia_incana,,,yes,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
72,514b1195-52de-4068-a21d-8cc4fba694fe,other,Lactuca serriola (Prickly lettuce),,yes,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
73,c3df6354-79bb-4af4-b6ab-d6c0e4bc0524,Sonchus_oleraceus,,,yes,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
74,fec9342a-0d3f-4c26-8c75-86007ce4975a,Erigeron_canadensis,,,yes,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
75,6f1e98af-3c4b-4974-8b93-4a21c2a4c702,Baccharis_pilularis,,,yes,NaN,674cd3e1-e1ff-487e-9468-10c6f926185b,8/19/2020 10:16:43 PM,CIR_FieldTech1,12/19/2022 9:23:03 PM,ken_cir
76,84306b8b-ba16-40a6-9f0f-fd124258d86a,Stipa_pulchra,,20,no,NaN,612e62f4-8fa8-4456-90c6-79c670250ca0,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir
77,d0089428-5532-4977-8d86-8595454e32d2,Isocoma_menziesii,,1,no,NaN,612e62f4-8fa8-4456-90c6-79c670250ca0,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir
78,2ff3de49-374e-4316-b840-04c791e1a569,Deinandra_fasciculata,,,yes,NaN,612e62f4-8fa8-4456-90c6-79c670250ca0,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir
79,af91919e-284c-4884-8c6a-43c09695aa85,Erigeron_canadensis,,,yes,NaN,612e62f4-8fa8-4456-90c6-79c670250ca0,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir
80,d4ee9c2f-33f7-4f1a-a791-f2c1c861283c,Pseudognaphalium_californicum,,,yes,NaN,612e62f4-8fa8-4456-90c6-79c670250ca0,8/19/2020 10:20:11 PM,CIR_FieldTech1,12/19/2022 9:40:03 PM,ken_cir
81,3a23de21-0830-4f3f-9005-beb8b100c407,Quercus_agrifolia,,,yes,NaN,706ef153-54da-4d71-a190-9ac331c98bcf,9/18/2020 8:51:50 PM,CIR_FieldTech1,12/19/2022 9:38:24 PM,ken_cir
82,8f97eb6c-63f4-41c0-9354-f1780ed88d68,Chenopodium_murale,,,yes,NaN,706ef153-54da-4d71-a190-9ac331c98bcf,9/18/2020 8:51:50 PM,CIR_FieldTech1,12/19/2022 9:38:24 PM,ken_cir
83,9ec77c9e-99c2-41c2-bc41-655cdd696b69,Croton_setigerus,,,yes,NaN,706ef153-54da-4d71-a190-9ac331c98bcf,9/18/2020 8:51:50 PM,CIR_FieldTech1,12/19/2022 9:38:24 PM,ken_cir
84,0789ffe9-aba2-4ca6-aa66-e023d08f7fdb,Quercus_agrifolia,,,yes,NaN,67542a91-1501-435a-a115-30ac5564fac8,9/18/2020 8:57:43 PM,CIR_FieldTech1,12/19/2022 9:36:55 PM,ken_cir
85,8ab6dd50-eb49-45c1-bf67-5db812d5bc66,Croton_setigerus,,1,,NaN,67542a91-1501-435a-a115-30ac5564fac8,9/18/2020 8:57:43 PM,CIR_FieldTech1,12/19/2022 9:36:55 PM,ken_cir
86,8db4b77a-13b0-425c-a67a-15574f169ce4,other,Lactuca serriola (Prickly lettuce),,yes,NaN,67542a91-1501-435a-a115-30ac5564fac8,9/18/2020 8:57:43 PM,CIR_FieldTech1,12/19/2022 9:36:55 PM,ken_cir
87,37b23072-a89f-46a4-af17-8062dd6f0e92,Croton_setigerus,,25,,NaN,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir
88,9844ab61-fd99-4556-9c62-97a50c05c821,Erigeron_canadensis,,1,,NaN,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir
89,7ce3fec1-9eb8-4cab-bbe3-a2979ab9ea0b,Hirschfeldia_incana,,,yes,NaN,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir
90,3e56ba58-a0e7-421e-8771-c3d125ff8ec4,Chenopodium_murale,,2,,NaN,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir
91,0a8036f6-7864-4623-bbc4-5793056078bf,Lysimachia_arvensis,,1,,NaN,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir
92,45ee4e7d-ddfe-4a7e-95b3-e374b1ceb5e4,Solanum_douglasii,,,yes,NaN,c40ca6f9-7fc4-4dcc-81d2-9c74d17fc420,9/18/2020 9:15:33 PM,CIR_FieldTech1,12/19/2022 9:34:46 PM,ken_cir
93,495b8aab-3639-45e8-a938-9170219ac68a,Deinandra_fasciculata,,30,,NaN,57a7f93e-07c9-43b4-85a8-6ac960ae6fed,9/18/2020 9:23:06 PM,CIR_FieldTech1,12/19/2022 9:33:27 PM,ken_cir
94,338cc4be-326e-4460-bff7-560f4b8334a2,Croton_setigerus,,2,,NaN,57a7f93e-07c9-43b4-85a8-6ac960ae6fed,9/18/2020 9:23:06 PM,CIR_FieldTech1,12/19/2022 9:33:27 PM,ken_cir
95,432c571e-8e1b-4492-9eb9-6e9eb8aa892a,Erigeron_canadensis,,1,,NaN,57a7f93e-07c9-43b4-85a8-6ac960ae6fed,9/18/2020 9:23:06 PM,CIR_FieldTech1,12/19/2022 9:33:27 PM,ken_cir
96,ce560460-aac3-4375-9431-e18eb10a90c8,Croton_setigerus,,30,,NaN,c8df7a4d-3933-47d4-b09b-36148dbd1311,9/18/2020 9:27:27 PM,CIR_FieldTech1,12/19/2022 9:32:20 PM,ken_cir
97,ef4734cb-ac3c-467c-8d8e-267aaf4a6e26,Erigeron_canadensis,,,,NaN,c8df7a4d-3933-47d4-b09b-36148dbd1311,9/18/2020 9:27:27 PM,CIR_FieldTech1,12/19/2022 9:32:20 PM,ken_cir
98,5c47da6f-ec3c-46fe-92b3-c4658e1464d9,Deinandra_fasciculata,,1,,NaN,c8df7a4d-3933-47d4-b09b-36148dbd1311,9/18/2020 9:27:27 PM,CIR_FieldTech1,12/19/2022 9:32:20 PM,ken_cir
99,b4c29577-e298-4440-bf24-294f36384d76,Pseudognaphalium_californicum,,,yes,NaN,c8df7a4d-3933-47d4-b09b-36148dbd1311,9/18/2020 9:27:27 PM,CIR_FieldTech1,12/19/2022 9:32:20 PM,ken_cir
100,4d81bae6-66c3-4c8a-bd36-89bf254c6681,Stipa_pulchra,,,yes,NaN,c8df7a4d-3933-47d4-b09b-36148dbd1311,9/18/2020 9:27:27 PM,CIR_FieldTech1,12/19/2022 9:32:20 PM,ken_cir
101,1947618c-f3df-4a8f-bf42-436886333b97,Deinandra_fasciculata,,2,,NaN,93961b38-7480-4086-b895-05640e82f37e,9/18/2020 9:36:00 PM,CIR_FieldTech1,12/19/2022 9:31:04 PM,ken_cir
102,a1429a55-a46d-4eae-b386-dce282305f0c,Stipa_pulchra,,3,,NaN,93961b38-7480-4086-b895-05640e82f37e,9/18/2020 9:36:00 PM,CIR_FieldTech1,12/19/2022 9:31:04 PM,ken_cir
103,6010e908-0ecd-4730-a2f1-ea86f70b2e70,Ambrosia_psilostachya,,,yes,NaN,93961b38-7480-4086-b895-05640e82f37e,9/18/2020 9:36:00 PM,CIR_FieldTech1,12/19/2022 9:31:04 PM,ken_cir
104,7d628cd5-0876-4af2-a5ad-2d9a562d74c4,Croton_setigerus,,,yes,NaN,93961b38-7480-4086-b895-05640e82f37e,9/18/2020 9:36:00 PM,CIR_FieldTech1,12/19/2022 9:31:04 PM,ken_cir
105,652ca77d-4792-4dd4-a581-96e62e12b991,,,,,NaN,e005638f-eee9-44b8-a8c2-3f2fbb1f8ddb,9/18/2020 9:40:53 PM,CIR_FieldTech1,12/19/2022 9:26:44 PM,ken_cir
106,ce6ea507-8a18-44a5-a5b4-26e244cc73a9,Stipa_pulchra,,40,,NaN,1c0ee14a-5451-4204-8da5-3f7c0b2f968e,9/18/2020 9:51:33 PM,CIR_FieldTech1,12/19/2022 9:29:36 PM,ken_cir
107,15359238-4d7a-41b9-986d-57b335ee2a7d,Ambrosia_psilostachya,,1,,NaN,1c0ee14a-5451-4204-8da5-3f7c0b2f968e,9/18/2020 9:51:33 PM,CIR_FieldTech1,12/19/2022 9:29:36 PM,ken_cir
108,3854fc89-839e-4531-9317-ad6d37e1ed4f,Deinandra_fasciculata,,,yes,NaN,1c0ee14a-5451-4204-8da5-3f7c0b2f968e,9/18/2020 9:51:33 PM,CIR_FieldTech1,12/19/2022 9:29:36 PM,ken_cir
109,799a206f-1a38-498b-bf3d-d023ef8c809c,Croton_setigerus,,12,,NaN,68124606-5121-457b-b462-f6f9e884e026,9/18/2020 10:15:22 PM,CIR_FieldTech1,12/19/2022 9:28:04 PM,ken_cir
